tent: abdatam, wuumtorma (Lines: 10, 4590)
shine: hiiv, yawo (Lines: 1634, 4696)
weird: hiiya, raso (Lines: 1637, 3466)
strange: hiiya, raso (Lines: 1638, 3467)
violate: hiiz, suudnuuk (Lines: 1641, 4013)
missing: hngukk, jara (Lines: 1648, 1988)
dead: hngukk, opuuyauu (Lines: 1649, 3157)
colony: ho, kuuma (Lines: 1654, 2587)
rule: hoj, miiz (Lines: 1668, 3036)
generic: hok, jam (Lines: 1671, 1967)
type: hom, jiiuus (Lines: 1679, 2138)
order: hos, iigkii (Lines: 1691, 1831)
destroy: hosa, yabtii (Lines: 1696, 4615)
heavy: huu, mesh (Lines: 1715, 2971)
sick: huu'iik, wazmas (Lines: 1717, 4427)
flow: huua, iip (Lines: 1721, 1879)
drift: huua, sande (Lines: 1722, 3662)
spray: huuaae, wehhuu (Lines: 1724, 4438)
assume: huude, juuwga, kaku, luup (Lines: 1728, 2205, 2248, 2810)
presume: huude, juuwga, luup (Lines: 1729, 2206, 2811)
gap: huuj, lajo (Lines: 1739, 2627)
beat: huuke, kamgiiftak (Lines: 1743, 2266)
focus: huumii, puuj (Lines: 1750, 3380)
attempt: huumii, iiv (Lines: 1752, 1899)
alone: huumuush, iinge (Lines: 1756, 1874)
bright: huunja'oz, kii'ni (Lines: 1764, 2491)
accept: huup, yap (Lines: 1765, 4661)
wholesome: huupa, wama (Lines: 1768, 4388)
close: huuv, jach, yasgii (Lines: 1777, 1920, 4675)
shut: huuv, jach (Lines: 1778, 1921)
block: huuv, wanek, wiij (Lines: 1779, 4398, 4509)
respect: huuwjawgii, huuwjawgii (Lines: 1787, 1788)
get: ii, kezne (Lines: 1796, 2442)
grab: ii, jahwa (Lines: 1799, 1946)
select: ii, jehmesh (Lines: 1803, 2034)
possess: ii, yiiftiijii, yodos (Lines: 1804, 4780, 4814)
grasp: ii, jahwa (Lines: 1806, 1948)
acquire: ii, shassuup (Lines: 1807, 3821)
clutch: ii, jahwa, ruunduu (Lines: 1808, 1947, 3607)
grip: ii, jahwa (Lines: 1809, 1949)
very: iidliij, re (Lines: 1818, 3478)
really: iidliij, re (Lines: 1819, 3479)
intend: iih, juush (Lines: 1832, 2200)
present: iiholte, sav, wuuj (Lines: 1835, 3684, 4576)
noise: iik, tawma (Lines: 1842, 4110)
horn: iikel, sape (Lines: 1844, 3670)
oblige: iimjav, ta (Lines: 1861, 4055)
drain: iip, iipum (Lines: 1880, 1883)
reduce: iip, uunda (Lines: 1881, 4315)
divert: iip, lebak (Lines: 1882, 2663)
citizen: iisfa, soz (Lines: 1888, 3999)
reverse: iishlii'ash, wosno (Lines: 1892, 4566)
stall: jada, muudlii (Lines: 1926, 3068)
slow: jadii, shiiji (Lines: 1928, 3861)
deter: jagkadlam, miingniim (Lines: 1940, 3021)
stable: jaha, woge (Lines: 1944, 4551)
jump: jasha, jiia (Lines: 1996, 2087)
play: jashhaa, seh (Lines: 1998, 3706)
follow: java, yas, yok (Lines: 2007, 4672, 4820)
row: jawah, yiiwmoylev (Lines: 2011, 4803)
fresh: jaya, shaa (Lines: 2013, 3763)
crowd: jaznii, sham, wiiro (Lines: 2015, 3796, 4530)
scoop: jehwe, pawuu, sek (Lines: 2039, 3265, 3710)
birth: jeka, relbiim (Lines: 2044, 3496)
cold: jiiii, yeeni (Lines: 2086, 4708)
bump: jiido, shiik (Lines: 2092, 3866)
face: jiih, la (Lines: 2094, 2612)
chair: jiijiing, jiijiing (Lines: 2099, 2101)
bar: jiikbuu, kiini'beah'am (Lines: 2109, 2494)
pole: jiikbuu, laruu (Lines: 2110, 2644)
squint: jiimya, meyuu (Lines: 2119, 2993)
drink: jiis, jiis (Lines: 2127, 2129)
clean: jiish, jiish (Lines: 2132, 2134)
kind: jiiuus, yassa (Lines: 2137, 4687)
autumn: jiizen, ruunii (Lines: 2141, 3609)
prey: joh, kiish (Lines: 2145, 2509)
clash: joj, yah (Lines: 2149, 4624)
hate: jok, jok (Lines: 2151, 2153)
fur: joshe, yeng (Lines: 2167, 4738)
mane: joshe, siis (Lines: 2168, 3961)
manual: jowlal, uushpa (Lines: 2169, 4341)
about: juu, memge (Lines: 2171, 2949)
style: juung, rop (Lines: 2190, 3571)
sentence: juuwa, rosh (Lines: 2202, 3578)
relax: kaah, palmuu (Lines: 2210, 3223)
emotion: kachaz, llii (Lines: 2218, 2764)
custom: kagya, wekbang (Lines: 2228, 4444)
complex: kahezuu, yobdii (Lines: 2234, 4808)
divide: kaii, reyuu, tash (Lines: 2237, 3516, 4103)
guess: kaku, sez (Lines: 2243, 3756)
out: kam, ko (Lines: 2259, 2525)
attend: kamjeng, yeh (Lines: 2268, 4713)
show up: kamjeng, yeh (Lines: 2269, 4714)
crack: kamre, kamre'ash, kang (Lines: 2272, 2274, 2287)
reveal: kande, oh (Lines: 2276, 3111)
accident: kang, pera (Lines: 2288, 3299)
breed: karesh, mege (Lines: 2308, 2923)
lightning: kasha, yamvang (Lines: 2317, 4642)
dust: kavem, tahe (Lines: 2330, 4068)
lurk: kawas, pomha (Lines: 2336, 3353)
race: kaz, keke (Lines: 2342, 2374)
capture: kazka, wev (Lines: 2346, 4478)
as: ke, rok, tes (Lines: 2352, 3556, 4152)
arc: kede, miiep (Lines: 2358, 3004)
admit: kek, sosii (Lines: 2371, 3996)
link: kelme, riing (Lines: 2382, 3544)
hiss: keluusss, wuuzzra (Lines: 2383, 4608)
confirm: kemwe, liizrach (Lines: 2388, 2752)
trade: kesfe, kesfe (Lines: 2416, 2417)
fool: kesfem, uuwluu (Lines: 2419, 4350)
work: kesh, kesh (Lines: 2421, 2422)
hunt: kevra, reje (Lines: 2434, 3490)
linger: kiikhii, ruuj (Lines: 2465, 3594)
accurate: kiima, yasgii (Lines: 2472, 4676)
exact: kiima, yal (Lines: 2473, 4631)
precise: kiima, yal (Lines: 2474, 4632)
system: kiin, rop (Lines: 2479, 3573)
reflect: kiinaagii, yuung (Lines: 2482, 4872)
reflection: kiinaagii'ej, yuung'ej (Lines: 2483, 4873)
handsome: kiinamiim, kiizuuh (Lines: 2484, 2524)
offer: kiing, kiing'ash (Lines: 2488, 2489)
perceive: kiis, wap (Lines: 2503, 4403)
date: kiis, lang (Lines: 2505, 2639)
cool: kiisfii, yem (Lines: 2507, 4730)
mud: koh, liivba (Lines: 2531, 2746)
color: koohur, muush (Lines: 2532, 3092)
excuse: kohii, wuum, wuum (Lines: 2535, 4581, 4585)
eyeball: koj, piin (Lines: 2538, 3327)
free: kong, zurong (Lines: 2547, 4900)
tease: kuucha, rascho (Lines: 2564, 3458)
mock: kuucha, rache (Lines: 2565, 3421)
safe: kuung, yuuz (Lines: 2591, 4890)
value: kuushto, kuushto (Lines: 2603, 2604)
front: la, moz (Lines: 2614, 3063)
dialect: lah, rowem (Lines: 2622, 3582)
voice: lah, wamdamep (Lines: 2623, 4390)
city: lan, paaepoh-paash (Lines: 2636, 3191)
silly: lenguu, puuv (Lines: 2691, 3400)
appearance: lep, oh'ej (Lines: 2695, 3114)
bluff: liich, yol (Lines: 2709, 4824)
damage: liij, liij (Lines: 2717, 2718)
as well as: liik, rok (Lines: 2721, 3558)
train: liil, luuwuul (Lines: 2725, 2821)
education: liilo, weh (Lines: 2727, 4436)
ripe: liimma, tuung (Lines: 2730, 4252)
examine: liizrach, omna (Lines: 2750, 3137)
land: lleehada, pawlo (Lines: 2760, 3260)
hug: loz, ruunduu, sonap (Lines: 2782, 3604, 3991)
riverbank: luuch, wes (Lines: 2785, 4471)
earn: luudniil, moshtecha (Lines: 2788, 3060)
surf: luumshuum, wiihe (Lines: 2799, 4494)
advertise: luuv, shuuhyuung (Lines: 2815, 3921)
summer: luuz, meetamaa (Lines: 2823, 2920)
spring: maaroo, wasam (Lines: 2826, 4410)
lump: mabii, shiik (Lines: 2831, 3865)
support: mach, mach'ej (Lines: 2832, 2835)
justify: mach, wiij (Lines: 2833, 4508)
fragile: machma, wazmas (Lines: 2837, 4428)
shoot: majuu, pah (Lines: 2852, 3209)
garden: mam, shiing (Lines: 2869, 3875)
assure: mamnuu, shen (Lines: 2875, 3845)
vow: mamnuu, ondo (Lines: 2877, 3144)
gardener: mamum, shiing'um (Lines: 2881, 3876)
invest: mav, mos (Lines: 2899, 3058)
long: mayanguush'oz, q'iyi (Lines: 2904, 3414)
press: maz, uusa (Lines: 2907, 4337)
propel: maz, pah (Lines: 2908, 3210)
stay: mej, wenwo (Lines: 2930, 4466)
change: melekam, melekam, mhaawhoo (Lines: 2937, 2940, 2997)
charm: meshpa, yuungsuu (Lines: 2976, 4875)
seduce: meshpa, rao, wamha (Lines: 2977, 3451, 4391)
lure: meshpa'ej, tamshel, wamha (Lines: 2980, 4086, 4392)
design: mev, rop (Lines: 2986, 3572)
curl: miiep, wange (Lines: 3003, 4400)
law: miiz, rakom, wuu (Lines: 3037, 3435, 4569)
complain: mofuu, yiibii (Lines: 3043, 4776)
snow: mok, mok (Lines: 3045, 3046)
silver: mongpo, shaavoh (Lines: 3056, 3767)
seventy-nine: muufang, muumuu (Lines: 3069, 3081)
fair: muul, uune (Lines: 3077, 4317)
seventy-four: muupam, muu'u (Lines: 3088, 3095)
gang: muus, sham (Lines: 3091, 3792)
storm: ohora, ssturm (Lines: 3116, 4005)
return: ok, ok (Lines: 3120, 3122)
catastrophe: oma, woh (Lines: 3130, 4555)
inquire: omna, wiing (Lines: 3135, 4527)
probe: omna, sawuum (Lines: 3138, 3689)
affirm: ondo, shuuhyuung (Lines: 3143, 3922)
fierce: opa, rarme (Lines: 3153, 3455)
refer: otwa, puung (Lines: 3171, 3390)
year: oyii, wii (Lines: 3184, 4490)
describe: paa, wuum (Lines: 3195, 4583)
proclaim: padluu, shuuhyuung (Lines: 3201, 3920)
nap: palmuu, retii (Lines: 3224, 3511)
stretch: pamha, siik (Lines: 3229, 3946)
patron: papzesh, wuuskop (Lines: 3245, 4602)
intricate: pemuun, siingpeng (Lines: 3292, 3954)
stick: pesh, sachme (Lines: 3301, 3629)
snap: peshtah, sepsha (Lines: 3303, 3729)
graze: piifa, rorkezuu (Lines: 3315, 3576)
rip: piih, reyuu (Lines: 3317, 3519)
husband: po, wiip (Lines: 3342, 4529)
revolve: poke, tevwuu (Lines: 3349, 4164)
weather: puuk, wiij (Lines: 3381, 4506)
diagnose: puung, wafya (Lines: 3389, 4367)
estimate: puurshe, sez (Lines: 3395, 3757)
tough: rarme, rorkezuu (Lines: 3452, 3575)
satisfy: rayong, sang (Lines: 3474, 3664)
attach: reh, tuun (Lines: 3485, 4249)
oppress: rej, wiih (Lines: 3488, 4493)
sleep: retii, retii (Lines: 3510, 3512)
cut: reyuu, reyuuo (Lines: 3515, 3521)
recognize: ruuh'ash, wav (Lines: 3591, 4416)
limit: ruuk, siis (Lines: 3595, 3959)
cause: ruuuu, ruuuu (Lines: 3618, 3622)
assemble: sahmuu, uume (Lines: 3638, 4305)
current: shaa, shamam, taahi (Lines: 3764, 3798, 4056)
flu: shadlebuu, suugfiis (Lines: 3770, 4018)
wake: shuuha, yee (Lines: 3918, 4705)
